date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:25	235/235	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202016%2023:02:25%20GMT	http://currenswatch.com/robots.txt		(from )
02:02:25	36116/36116	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202016%2023:02:26%20GMT	http://currenswatch.com/	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/index.html	(from )
02:02:26	29976/29976	---MCZ	200	added ('OK')	text/css	etag:%2255784fdc-7518%22	http://currenswatch.com/files/curren_watch_1/css/style.css	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/css/style.css	(from http://currenswatch.com/)
02:02:26	5168/5168	---MCZ	200	added ('OK')	text/css	etag:%2255784c62-1430%22	http://currenswatch.com/files/curren_watch_1/js/fancybox2/jquery.fancybox.css	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/js/fancybox2/jquery.fancybox.css	(from http://currenswatch.com/)
02:02:27	93105/93105	---MCZ	200	added ('OK')	application/x-javascript	etag:%22546b3a2b-16bb1%22	http://infocdn-test.com/files/_js/jquery-1.10.2.min.js	C:/Users/Vnl/Desktop/11q/11/infocdn-test.com/files/_js/jquery-1.10.2.min.js	(from http://currenswatch.com/)
02:02:27	1729/1729	---MCZ	200	added ('OK')	application/x-javascript	etag:%2256c58187-6c1%22	http://currenswatch.com/files/_js/validation.js	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/_js/validation.js	(from http://currenswatch.com/)
02:02:28	54795/54795	---MCZ	200	added ('OK')	application/x-javascript	etag:%2255784c62-d60b%22	http://currenswatch.com/files/curren_watch_1/js/jquery.carouFredSel-6.2.1-packed.js	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/js/jquery.carouFredSel-6.2.1-packed.js	(from http://currenswatch.com/)
02:02:28	50725/50725	---MCZ	200	added ('OK')	application/x-javascript	etag:%2255784c62-c625%22	http://currenswatch.com/files/curren_watch_1/js/fancybox2/jquery.fancybox.js	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/js/fancybox2/jquery.fancybox.js	(from http://currenswatch.com/)
02:02:28	2481/2481	---MCZ	200	added ('OK')	application/x-javascript	etag:%2255e6c9c9-9b1%22	http://currenswatch.com/files/curren_watch_1/js/script.js?6	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/js/script1679.js	(from http://currenswatch.com/)
02:02:29	4465/4465	---M--	200	added ('OK')	image/png	etag:%2255784c62-1171%22	http://currenswatch.com/files/curren_watch_1/img/orderbutton.png	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/img/orderbutton.png	(from http://currenswatch.com/)
02:02:30	17690/17690	---M--	200	added ('OK')	image/png	etag:%2255784c62-451a%22	http://currenswatch.com/files/curren_watch_1/img/hitswathes.png	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/img/hitswathes.png	(from http://currenswatch.com/)
02:02:30	7662/7662	---M--	200	added ('OK')	image/png	etag:%2255784c3c-1dee%22	http://currenswatch.com/files/curren_watch_1/img/ico1.png	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/img/ico1.png	(from http://currenswatch.com/)
02:02:30	8226/8226	---M--	200	added ('OK')	image/png	etag:%2255784c3c-2022%22	http://currenswatch.com/files/curren_watch_1/img/ico2.png	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/img/ico2.png	(from http://currenswatch.com/)
02:02:30	7716/7716	---M--	200	added ('OK')	image/png	etag:%2255784c3c-1e24%22	http://currenswatch.com/files/curren_watch_1/img/ico3.png	C:/Users/Vnl/Desktop/11q/11/currenswatch.com/files/curren_watch_1/img/ico3.png	(from http://currenswatch.com/)
